target_size,train_size,r2_std,rmse_o_std,rpd_o_std,execution_time_std
8,5,0.009981343,0.891966058,0.056061963,0.823548547
8,15,0.007720223,0.896750173,0.048779759,0.044060775
8,25,0.007281609,0.551364819,0.045469258,0.036225202
8,35,0.004716078,0.569124587,0.031037117,0.023297245
8,45,0.005486963,0.384346363,0.036617267,0.054136409
8,55,0.005914688,0.730682428,0.037843028,0.026387678
8,65,0.006076651,0.689776408,0.039932984,0.181664827
8,75,0.012944232,0.812649041,0.087359984,1.099153132
8,85,0.014339806,1.343477192,0.09540375,0.037169527
8,95,0.02730455,1.953180683,0.165782843,0.027280455
16,5,0.014551392,1.353717395,0.090412507,0.09206128
16,15,0.008291855,0.83582115,0.071351504,0.044992607
16,25,0.002402732,0.238770988,0.026168133,0.071470303
16,35,0.006308759,0.615166585,0.069791817,0.186196432
16,45,0.004515765,0.373613464,0.053386605,0.255544451
16,55,0.006139988,0.62680428,0.075005173,0.285373928
16,65,0.005892911,0.76321272,0.068280968,0.299402389
16,75,0.009866726,0.817374534,0.109139288,0.390399966
16,85,0.009641722,0.806336603,0.112024203,0.065324728
16,95,0.016364872,1.606592261,0.19853558,0.083221041
32,5,0.00868839,0.799647369,0.05881358,0.081966759
32,15,0.007025922,0.8098515,0.069639098,0.201399468
32,25,0.00672185,0.556294648,0.07991663,0.137922892
32,35,0.003981468,0.276543603,0.051533634,0.12393164
32,45,0.005743579,0.713829498,0.075215316,0.271309699
32,55,0.006354815,0.701348628,0.079669164,0.258081238
32,65,0.006958187,0.687243392,0.093053352,0.305444023
32,75,0.00780366,0.992156948,0.103636447,0.283210276
32,85,0.012780724,1.112338285,0.167677122,0.147732369
32,95,0.016604815,1.316030161,0.240424528,0.043766148
64,5,0.007669932,0.699364257,0.059462449,0.32197936
64,15,0.005341548,0.650490372,0.060022279,0.315208857
64,25,0.006053939,0.653260636,0.078112454,0.335744615
64,35,0.002897159,0.28218197,0.038655175,0.358278822
64,45,0.003909328,0.428226392,0.058501904,0.150162169
64,55,0.007766949,0.971118209,0.107867737,0.155571231
64,65,0.006084691,0.687972159,0.087662788,0.076046618
64,75,0.005775394,0.93650038,0.084080124,0.121265507
64,85,0.010160134,0.847011179,0.1554601,0.106085272
64,95,0.017973669,1.772621893,0.240693749,0.215953262
128,5,0.016591686,1.617011083,0.131740231,0.51069399
128,15,0.004937045,0.509399459,0.063502443,0.417495899
128,25,0.003791881,0.449950969,0.06025474,0.615867404
128,35,0.003192001,0.460612778,0.058460985,0.323604089
128,45,0.003317868,0.388946929,0.062817248,0.294248822
128,55,0.004616144,0.428152364,0.090500055,0.238092783
128,65,0.00734326,0.82441165,0.157535752,0.360255975
128,75,0.009112861,1.104605117,0.205470441,0.336176973
128,85,0.007220258,1.211922554,0.152261843,0.181966673
128,95,0.014238397,1.172732524,0.32993684,0.354411746
256,5,0.008674887,0.795244088,0.068928953,0.806982351
256,15,0.019737464,0.889607623,0.18859464,0.999949556
256,25,0.009185668,0.966872087,0.121014306,0.846843047
256,35,0.003952665,0.486480421,0.067167011,0.558587182
256,45,0.006691731,0.574981057,0.115836902,0.803003317
256,55,0.005702899,0.620316413,0.100582218,0.884248556
256,65,0.005724928,0.871256397,0.106484112,0.703192043
256,75,0.010081341,0.96553831,0.200551942,0.497341814
256,85,0.009726669,1.071930272,0.19566288,0.667341814
256,95,0.019784669,1.421327557,0.309819517,0.950370391
512,5,0.010536153,0.924025761,0.076390598,1.961362545
512,15,0.007385442,0.813509674,0.08183569,1.48390339
512,25,0.004430139,0.62561197,0.059280723,2.102510578
512,35,0.004076597,0.495482487,0.057526451,2.5983343
512,45,0.012488584,1.573458539,0.163875596,3.249673092
512,55,0.010111472,1.073830662,0.148839705,2.342529832
512,65,0.007385442,0.813509674,0.08183569,3.18391339
512,75,0.014430139,0.62561197,0.059280723,2.902510578
512,85,0.014076597,0.495482487,0.057526451,2.5683343
512,95,0.022488584,1.573458539,0.163875596,3.149673092
