algorithm,dataset,target_size,scaler_y,mode,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq
bsdrcnn_r,lucas,8,robust,dyn,0.83,1.1699999570846558,2.4200000762939453,0.8299999833106995,0.85,1.149999976158142,2.5799999237060547,0.8799999952316284
bsdrcnn_r,lucas,8,robust,semi,0.75,1.409999966621399,2.009999990463257,0.6899999976158142,0.77,1.409999966621399,2.0999999046325684,0.7200000286102295
bsdrcnn_r,lucas,16,robust,dyn,0.89,0.959999978542328,3.039999961853028,1.0499999523162842,0.9,0.9100000262260436,3.2300000190734863,1.090000033378601
bsdrcnn_r,lucas,16,robust,semi,0.88,1.0199999809265137,2.880000114440918,0.9900000095367432,0.89,0.9900000095367432,2.970000028610229,1.0
bsdrcnn_r,lucas,32,robust,dyn,0.89,0.9700000286102296,3.009999990463257,1.0199999809265137,0.92,0.8399999737739563,3.5,1.2000000476837158
bsdrcnn_r,lucas,32,robust,semi,0.89,0.9700000286102296,2.990000009536743,1.0099999904632568,0.92,0.8299999833106995,3.5299999713897705,1.2100000381469729
bsdrcnn_r,lucas,64,robust,dyn,0.9,0.8999999761581421,3.2300000190734863,1.1200000047683716,0.92,0.8299999833106995,3.539999961853028,1.2000000476837158
bsdrcnn_r,lucas,64,robust,semi,0.89,0.9399999976158142,3.0799999237060547,1.0700000524520874,0.9,0.9300000071525574,3.180000066757202,1.0800000429153442
bsdrcnn_r,lucas,128,robust,dyn,0.92,0.8600000143051147,3.5199999809265137,1.1799999475479126,0.92,0.800000011920929,3.640000104904175,1.25
bsdrcnn_r,lucas,128,robust,semi,0.91,0.8999999761581421,3.390000104904175,1.1399999856948853,0.92,0.8399999737739563,3.440000057220459,1.1799999475479126
bsdrcnn_r,lucas,256,robust,dyn,0.9,0.9300000071525574,3.190000057220459,1.0399999618530271,0.92,0.8399999737739563,3.490000009536743,1.2100000381469729
bsdrcnn_r,lucas,256,robust,semi,0.9,0.959999978542328,3.0999999046325684,1.0099999904632568,0.91,0.8700000047683716,3.369999885559082,1.1699999570846558
